Timestamp,sub_0,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6,sub_7,sub_8,sub_9,sub_10,sub_11,sub_12,sub_13,sub_14,sub_15,sub_16,sub_17,sub_18,sub_19,sub_20,sub_21,sub_22,sub_23,sub_24,sub_25,sub_26,sub_27,sub_28,sub_29,sub_30,sub_31,sub_32,sub_33,sub_34,sub_35,sub_36,sub_37,sub_38,sub_39,sub_40,sub_41,sub_42,sub_43,sub_44,sub_45,sub_46,sub_47,sub_48,sub_49,sub_50,sub_51,sub_52,sub_53,sub_54,sub_55,sub_56,sub_57,sub_58,sub_59,sub_60,sub_61,sub_62,sub_63,sub_64,sub_65,sub_66,sub_67,sub_68,sub_69,sub_70,sub_71,sub_72,sub_73,sub_74,sub_75,sub_76,sub_77,sub_78,sub_79,sub_80,sub_81,sub_82,sub_83,sub_84,sub_85,sub_86,sub_87,sub_88,sub_89,sub_90,sub_91,sub_92,sub_93,sub_94,sub_95,sub_96,sub_97,sub_98,sub_99,sub_100,sub_101,sub_102,sub_103,sub_104,sub_105,sub_106,sub_107,sub_108,sub_109,sub_110,sub_111,sub_112,sub_113,sub_114,sub_115,sub_116,sub_117,sub_118,sub_119,sub_120,sub_121,sub_122,sub_123,sub_124,sub_125,sub_126,sub_127
2026-04-14 14:03:40.904080,126,-32,7,0,1,-9,-3,-10,-6,-12,-9,-14,-12,-17,-12,-20,-13,-21,-13,-24,-11,-24,-10,-24,-8,-22,-7,-20,-7,-16,-8,-13,-8,-10,-11,-7,-13,-3,-17,-3,-20,-3,-22,-3,-24,-5,-25,-6,-25,-10,-24,-11,-23,-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,7,19,7,20,9,21,10,21,11,23,12,22,13,20,13,18,13,16,12,15,11,14,7,13,5,13,2,13,-2,14,-5,14,-8,17,-10,18,-12,20,-12,20,-12,20,-11,20,-11,19,-10,17,-8,15,-7
2026-04-14 14:03:40.947152,126,-32,7,0,1,-8,-3,-9,-9,-11,-10,-13,-14,-15,-15,-17,-17,-19,-17,-21,-17,-21,-16,-20,-14,-21,-12,-18,-12,-15,-11,-11,-11,-7,-14,-4,-16,-1,-19,2,-23,3,-26,3,-27,2,-30,-1,-30,-3,-31,-6,-30,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,7,21,8,22,9,23,11,24,12,24,14,23,14,22,15,19,15,17,14,16,12,15,9,13,6,13,2,13,-1,14,-6,15,-8,17,-11,18,-12,20,-13,20,-13,21,-13,19,-12,18,-11,16,-9,14,-7
2026-04-14 14:03:40.987739,126,-32,7,0,6,-7,4,-10,2,-14,2,-17,1,-21,2,-24,2,-26,3,-28,5,-28,5,-27,6,-25,5,-21,3,-19,1,-17,-2,-15,-7,-13,-11,-13,-15,-14,-17,-16,-19,-19,-20,-22,-19,-24,-17,-26,-15,-28,-12,-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,17,13,19,13,22,13,23,11,26,11,25,10,26,8,25,7,24,6,22,6,19,7,16,8,13,9,10,12,8,14,5,17,4,20,3,23,3,24,3,24,3,24,4,24,4,22,4,19,5,17,3
2026-04-14 14:03:41.029823,126,-32,7,0,4,16,8,15,12,17,15,17,17,18,19,20,20,22,20,24,20,25,19,25,16,24,15,22,15,20,15,17,16,14,18,11,20,9,23,8,26,9,28,10,29,11,29,14,29,17,28,20,25,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17,20,-19,20,-21,19,-23,19,-25,18,-26,17,-27,15,-27,13,-25,12,-23,10,-21,10,-19,11,-15,12,-13,14,-12,17,-11,20,-11,22,-10,25,-10,26,-11,27,-11,28,-12,27,-13,26,-12,24,-11,22,-8,20
2026-04-14 14:03:41.072927,126,-32,7,0,4,-12,1,-14,-2,-16,-3,-19,-4,-20,-4,-22,-5,-25,-5,-25,-3,-26,-2,-25,-2,-24,-1,-22,-2,-20,-4,-17,-6,-15,-8,-14,-11,-13,-14,-14,-16,-15,-17,-17,-17,-19,-17,-21,-15,-23,-14,-25,-11,-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,-2,21,-1,22,0,23,2,23,3,23,4,23,5,21,7,20,6,18,6,16,4,15,2,14,0,14,-2,15,-5,15,-9,16,-10,18,-11,19,-12,20,-12,21,-12,21,-12,20,-11,19,-9,17,-8,14,-8
2026-04-14 14:03:41.116899,126,-32,7,0,-13,8,-12,12,-9,14,-11,18,-11,21,-12,23,-13,25,-14,25,-14,25,-15,24,-14,23,-14,20,-13,20,-10,17,-7,16,-4,17,-1,19,1,20,2,23,2,26,0,28,-1,29,-3,31,-6,30,-9,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23,-7,-24,-10,-25,-12,-25,-14,-24,-16,-24,-17,-22,-18,-21,-19,-18,-18,-17,-16,-17,-13,-16,-11,-17,-9,-18,-6,-20,-4,-21,-2,-24,-1,-25,0,-28,0,-28,-1,-29,-2,-28,-2,-26,-2,-25,-2,-22,-2,-18,0
2026-04-14 14:03:41.155170,126,-32,7,0,10,8,13,7,17,5,20,4,22,3,24,3,26,4,27,6,27,6,26,7,24,7,22,7,20,5,19,4,18,1,16,-2,17,-4,19,-7,21,-8,23,-9,25,-9,27,-7,28,-5,29,-2,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,22,-2,24,-3,25,-5,26,-7,26,-9,26,-11,25,-11,23,-11,21,-9,19,-9,18,-7,17,-4,17,-1,17,2,18,4,19,5,22,7,22,7,24,7,25,7,26,6,25,5,24,5,23,6,21,6,18
2026-04-14 14:03:41.195971,126,-32,7,0,-4,15,-1,17,2,19,5,21,6,23,7,26,7,27,7,29,6,29,5,29,3,27,3,26,4,23,5,20,6,18,9,16,13,15,15,16,18,17,19,19,20,21,19,24,17,26,15,28,12,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23,12,-25,13,-27,10,-29,9,-30,7,-31,6,-30,4,-29,2,-27,1,-25,1,-23,2,-21,4,-19,6,-18,9,-18,12,-19,14,-19,17,-20,19,-21,20,-22,20,-23,20,-23,19,-23,19,-21,17,-18,15,-15,14
2026-04-14 14:03:41.240845,126,-32,7,0,-15,-5,-17,-2,-20,1,-23,4,-25,5,-27,6,-29,6,-30,4,-31,4,-30,3,-29,2,-26,1,-23,3,-22,3,-19,6,-16,9,-17,12,-17,14,-19,17,-20,18,-22,19,-25,19,-27,18,-29,14,-30,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,-24,-9,-26,-8,-28,-6,-30,-4,-31,-2,-31,-1,-30,1,-29,2,-27,1,-25,0,-23,-1,-21,-4,-19,-7,-19,-10,-18,-13,-19,-15,-20,-17,-21,-19,-22,-20,-24,-19,-25,-17,-25,-17,-24,-17,-22,-15,-20,-14,-17
2026-04-14 14:03:41.284230,126,-32,7,0,-9,-11,-13,-9,-15,-7,-18,-7,-21,-7,-23,-7,-24,-8,-25,-10,-24,-10,-23,-11,-23,-10,-21,-10,-19,-9,-18,-7,-17,-4,-17,-1,-17,1,-20,3,-21,4,-23,4,-25,4,-26,2,-27,1,-27,-2,-27,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-22,4,-24,5,-24,7,-25,9,-25,11,-24,12,-23,13,-21,12,-20,11,-19,9,-17,8,-16,4,-17,2,-17,0,-18,-2,-20,-3,-22,-3,-23,-4,-25,-5,-25,-4,-26,-3,-26,-3,-24,-2,-23,-3,-21,-2,-18
2026-04-14 14:03:41.332901,126,-32,7,0,-15,4,-15,8,-15,11,-16,14,-17,17,-19,20,-19,19,-21,19,-22,19,-21,18,-21,17,-20,15,-17,14,-15,14,-12,15,-9,16,-7,17,-6,20,-5,23,-7,25,-8,27,-10,27,-14,27,-16,26,-18,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-22,-13,-22,-15,-23,-18,-22,-20,-21,-22,-20,-22,-18,-23,-16,-24,-15,-22,-14,-21,-13,-19,-13,-16,-15,-13,-16,-11,-19,-9,-21,-8,-23,-7,-26,-7,-27,-8,-28,-9,-28,-10,-28,-9,-26,-9,-25,-9,-22,-8,-20,-6
2026-04-14 14:03:41.370651,126,-32,7,0,7,13,12,12,15,11,19,11,21,11,24,12,24,12,26,15,25,15,24,16,21,15,21,14,19,12,17,10,18,6,18,3,19,2,21,-1,24,-1,26,-1,27,-1,29,1,30,4,29,7,29,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,24,-9,26,-11,25,-13,26,-15,25,-17,25,-18,24,-19,21,-18,19,-16,18,-14,16,-13,17,-9,16,-7,18,-4,20,-3,22,-2,24,-1,26,0,28,0,29,-1,29,-2,29,-3,27,-3,26,-2,23,-1,21
2026-04-14 14:03:41.416684,126,-32,7,0,-19,4,-18,8,-18,12,-18,14,-20,17,-22,19,-23,19,-24,20,-25,20,-25,19,-24,17,-23,16,-20,15,-18,15,-15,15,-13,17,-11,18,-10,21,-11,24,-12,25,-14,28,-17,28,-20,27,-21,25,-24,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-26,-11,-26,-13,-28,-16,-28,-18,-27,-21,-25,-21,-24,-22,-21,-23,-20,-22,-19,-22,-18,-19,-18,-16,-19,-14,-20,-12,-22,-10,-24,-9,-26,-7,-28,-8,-30,-8,-31,-8,-31,-9,-31,-9,-29,-9,-28,-9,-26,-8,-23,-6
2026-04-14 14:03:41.462471,126,-32,7,0,-17,4,-16,7,-16,10,-17,13,-18,15,-20,17,-21,18,-21,18,-22,18,-22,17,-22,16,-21,14,-19,14,-16,14,-14,14,-12,16,-10,17,-9,19,-9,22,-11,23,-13,25,-15,25,-18,24,-20,23,-21,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-25,-9,-25,-11,-27,-14,-27,-16,-26,-18,-24,-19,-23,-20,-21,-21,-19,-20,-18,-20,-17,-18,-17,-15,-17,-13,-19,-11,-20,-9,-22,-8,-24,-7,-26,-7,-27,-7,-28,-7,-29,-8,-28,-8,-27,-8,-26,-8,-24,-7,-21,-4
2026-04-14 14:03:41.503266,126,-32,7,0,-10,10,-8,14,-5,16,-4,18,-3,21,-4,22,-4,24,-4,25,-5,25,-5,24,-6,23,-6,22,-4,20,-3,17,0,16,2,16,5,17,7,17,9,19,9,21,8,23,7,24,5,26,3,26,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23,4,-25,4,-26,1,-28,0,-28,-2,-29,-3,-28,-5,-27,-6,-25,-7,-23,-7,-21,-5,-20,-3,-19,-1,-19,1,-20,4,-20,6,-22,8,-23,9,-24,10,-25,10,-26,10,-26,9,-24,9,-23,8,-20,7,-16,6
2026-04-14 14:03:41.548432,126,-32,7,0,4,-23,-1,-24,-4,-26,-7,-27,-8,-29,-8,-30,-8,-31,-7,-32,-5,-31,-4,-31,-3,-27,-3,-25,-2,-22,-2,-19,-4,-17,-6,-15,-9,-15,-11,-15,-12,-17,-13,-17,-13,-19,-13,-20,-12,-22,-10,-23,-7,-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-20,12,-21,15,-21,17,-21,18,-20,20,-19,21,-17,21,-16,20,-14,19,-13,18,-14,16,-14,14,-15,13,-17,12,-19,12,-24,12,-26,13,-28,14,-31,16,-33,18,-33,21,-33,21,-32,22,-32,21,-30,18,-28
2026-04-14 14:03:44.313396,-97,-16,9,0,-28,-2,-26,-1,-26,-3,-26,1,-25,0,-25,1,-24,0,-23,3,-23,2,-25,3,-24,3,-23,2,-26,3,-23,4,-22,2,-23,4,-23,2,-24,2,-20,2,-22,0,-20,-1,-20,-1,-20,-3,-18,-4,-16,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11,5,-11,3,-14,4,-13,1,-14,1,-18,1,-18,1,-17,0,-18,1,-19,-1,-20,-4,-21,-2,-21,-6,-22,-6,-23,-2,-25,-4,-24,-5,-22,-5,-24,-3,-25,-3,-23,-3,-25,-3,-24,-4,-27,-2,-26,-6,-27,-1
2026-04-14 14:03:44.361966,-119,-112,8,0,-18,-19,-21,-19,-19,-18,-19,-18,-20,-18,-20,-16,-18,-13,-18,-16,-20,-17,-22,-17,-21,-15,-20,-13,-20,-13,-18,-14,-20,-16,-20,-15,-17,-13,-19,-16,-17,-15,-17,-13,-15,-15,-13,-14,-13,-15,-13,-15,-10,-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,-5,-13,-4,-12,-8,-10,-9,-11,-9,-13,-11,-13,-12,-13,-13,-14,-14,-13,-13,-13,-16,-13,-17,-13,-20,-14,-18,-14,-19,-13,-19,-14,-18,-14,-20,-14,-18,-16,-20,-18,-18,-16,-19,-16,-20,-16,-22,-18,-21,-20,-22
2026-04-14 14:03:44.399260,47,-11,82,0,5,21,9,26,8,24,11,23,9,24,12,23,10,22,9,21,13,24,11,24,12,22,13,22,13,20,12,22,12,21,12,20,9,18,10,20,10,18,10,19,7,17,8,16,6,18,5,18,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,5,10,6,9,7,13,6,12,4,17,2,16,3,15,5,18,4,18,4,20,6,20,3,21,3,21,2,20,4,23,3,22,2,24,5,24,5,26,4,24,3,25,4,26,6,24,6,25,7,24
2026-04-14 14:03:44.445427,47,-11,82,0,-8,-26,-10,-28,-9,-25,-8,-25,-13,-26,-10,-25,-10,-25,-13,-27,-12,-26,-12,-24,-13,-24,-12,-22,-12,-21,-12,-23,-12,-25,-10,-24,-10,-22,-9,-23,-6,-25,-12,-22,-7,-21,-8,-19,-7,-18,-5,-20,-3,-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,-9,-9,-10,-5,-13,-8,-12,-7,-14,-8,-15,-8,-16,-6,-17,-6,-21,-6,-22,-6,-21,-1,-22,-3,-24,-6,-21,-4,-24,-6,-25,-7,-32,-9,-24,-7,-24,-2,-28,-5,-26,-4,-28,-7,-27,-8,-26,-7,-31,-7,-32
2026-04-14 14:03:44.489926,126,-32,7,0,19,-15,21,-16,20,-19,19,-16,15,-18,19,-18,17,-18,16,-21,15,-20,13,-20,12,-19,14,-21,14,-19,12,-19,13,-19,15,-21,12,-19,12,-18,12,-15,11,-16,14,-15,14,-13,13,-12,13,-12,14,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-12,6,-8,7,-10,11,-9,10,-9,11,-10,11,-9,14,-11,16,-13,17,-11,18,-11,20,-10,19,-11,19,-11,19,-10,19,-12,20,-13,19,-12,19,-11,20,-13,19,-15,22,-13,20,-15,21,-15,22,-18,22,-18
2026-04-14 14:03:44.529243,82,32,5,0,19,20,19,19,16,18,20,18,18,14,22,13,19,16,19,12,20,12,20,13,20,14,19,12,20,12,19,11,20,13,21,10,17,12,18,12,20,11,18,11,17,11,16,12,15,13,13,13,11,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,8,6,11,8,9,10,11,11,12,12,11,13,10,16,12,16,9,17,10,18,10,18,10,18,11,18,11,20,9,20,13,21,12,18,15,19,14,21,15,21,16,19,14,20,15,21,15,22,19,22
2026-04-14 14:03:44.570752,-126,32,8,0,-6,25,-8,25,-8,27,-7,25,-8,24,-7,26,-7,24,-4,26,-4,26,-3,25,-2,24,-3,25,-3,24,-5,25,-5,24,-5,23,-4,22,-6,22,-4,22,-6,20,-5,19,-6,16,-10,17,-8,15,-9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,2,10,-2,12,-3,13,-1,13,-4,17,-5,19,-4,19,-6,18,-8,19,-10,21,-10,18,-9,20,-11,20,-9,19,-12,22,-10,23,-9,22,-9,22,-11,23,-10,24,-11,26,-13,23,-9,26,-11,26,-10,28
2026-04-14 14:03:44.613378,68,65,20,0,9,-15,8,-16,7,-18,6,-19,6,-21,6,-22,5,-22,3,-22,4,-22,3,-22,2,-20,1,-20,-1,-20,-2,-20,-4,-20,-5,-20,-7,-21,-7,-23,-7,-24,-7,-24,-5,-25,-4,-26,-3,-25,-2,-26,0,-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,-16,31,-15,34,-13,35,-9,35,-7,35,-5,34,-4,33,-2,31,-2,30,-2,29,-3,27,-4,27,-5,26,-6,26,-8,27,-9,26,-10,27,-11,27,-10,27,-10,26,-10,26,-10,23,-10,22,-10,19,-9,17,-11
2026-04-14 14:03:44.662089,-126,32,8,0,-22,-20,-20,-20,-20,-21,-19,-20,-18,-20,-20,-18,-20,-18,-20,-17,-21,-17,-21,-16,-22,-16,-20,-15,-21,-15,-23,-14,-20,-14,-19,-15,-20,-14,-19,-15,-18,-14,-18,-16,-18,-14,-17,-13,-14,-15,-13,-15,-11,-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,-7,-9,-9,-10,-8,-12,-10,-9,-11,-10,-13,-12,-16,-12,-16,-11,-16,-14,-18,-11,-20,-9,-20,-11,-20,-12,-21,-11,-20,-12,-23,-13,-22,-13,-24,-15,-21,-14,-22,-16,-20,-15,-22,-14,-22,-18,-22,-18,-21,-17,-23
2026-04-14 14:03:44.699153,94,-32,5,0,-3,26,0,26,5,26,3,24,4,25,2,25,6,23,2,26,5,26,6,25,6,25,6,25,5,26,7,24,2,25,5,23,3,22,4,24,1,22,4,20,2,22,1,18,0,20,0,18,-3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,3,10,5,13,1,15,2,15,1,15,2,19,0,20,-2,20,1,19,-1,22,-2,21,-4,20,-5,25,1,23,-1,24,-4,26,-2,26,-1,29,-1,25,0,25,1,25,-1,26,0,27,-1,27,2,32
2026-04-14 14:03:44.735995,-126,32,8,0,28,6,27,4,24,3,27,5,27,2,27,3,25,2,26,-1,25,0,26,1,26,-3,27,-3,24,-1,24,-2,25,-2,24,-1,25,1,21,1,21,2,21,1,21,1,20,3,19,3,16,4,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,-3,11,-1,13,-1,15,1,15,1,14,3,17,3,19,4,21,5,20,5,21,7,22,9,21,6,23,5,22,7,23,7,24,6,23,8,25,8,25,6,24,8,23,6,25,6,27,7,27,5,27,7
2026-04-14 14:03:44.785062,94,-32,5,0,-24,-16,-22,-16,-20,-14,-22,-16,-23,-13,-24,-11,-25,-13,-24,-15,-24,-13,-25,-14,-24,-10,-25,-10,-26,-8,-23,-12,-22,-8,-23,-8,-22,-10,-22,-10,-19,-9,-22,-11,-21,-12,-19,-10,-17,-11,-17,-11,-15,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11,-5,-11,-6,-13,-8,-14,-9,-14,-10,-14,-12,-15,-10,-13,-15,-14,-13,-17,-16,-13,-16,-12,-15,-15,-18,-17,-19,-17,-18,-16,-19,-19,-19,-19,-17,-18,-16,-19,-19,-21,-16,-21,-19,-20,-17,-20,-18,-23,-20,-23,-20
2026-04-14 14:03:44.828064,-37,-80,13,0,21,-14,20,-10,22,-11,20,-10,19,-13,19,-13,21,-14,20,-14,17,-12,17,-14,18,-14,16,-15,19,-13,16,-16,19,-12,16,-12,18,-13,17,-10,17,-12,18,-8,17,-9,14,-8,16,-6,15,-5,14,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-9,8,-8,9,-9,9,-10,11,-10,12,-9,13,-9,14,-10,14,-10,15,-8,16,-8,18,-11,18,-8,18,-8,19,-9,17,-7,20,-6,20,-10,20,-9,19,-8,21,-11,22,-9,20,-11,23,-10,23,-12,23,-11
2026-04-14 14:03:44.869428,-58,96,12,0,14,-12,12,-12,11,-13,11,-13,10,-15,9,-16,8,-16,6,-16,7,-16,6,-18,6,-17,6,-16,5,-17,4,-15,3,-16,3,-16,2,-16,0,-16,0,-16,0,-16,1,-17,1,-18,2,-18,2,-19,4,-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,-16,28,-16,29,-13,32,-10,30,-9,31,-6,30,-6,29,-4,27,-4,27,-3,26,-4,27,-5,26,-5,26,-6,26,-6,26,-7,26,-7,26,-7,26,-7,26,-7,25,-7,23,-8,22,-8,21,-7,20,-8,18,-8
2026-04-14 14:03:45.175045,110,-32,6,0,-26,-2,-28,-1,-25,-3,-28,-4,-25,-1,-26,-1,-27,0,-23,-1,-25,0,-25,2,-24,4,-25,3,-25,4,-24,3,-23,4,-25,1,-23,3,-22,0,-20,2,-22,-1,-21,2,-19,0,-20,-3,-19,-1,-18,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,1,-13,-1,-14,-2,-15,-2,-16,-2,-17,-4,-18,-4,-20,-4,-21,-5,-21,-7,-21,-7,-24,-3,-21,-7,-22,-6,-21,-9,-23,-7,-24,-7,-23,-9,-26,-7,-25,-7,-25,-6,-26,-7,-24,-3,-25,-4,-29,-5,-27,-6
2026-04-14 14:03:45.500319,123,-80,7,0,-27,9,-24,9,-24,10,-25,11,-23,10,-23,12,-21,11,-22,12,-21,11,-22,14,-20,11,-20,11,-20,12,-19,15,-19,13,-18,15,-18,12,-19,11,-18,11,-19,11,-19,7,-18,9,-16,8,-17,6,-17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,8,-12,8,-12,5,-15,5,-16,4,-16,6,-18,6,-19,6,-19,4,-22,5,-22,3,-19,6,-24,4,-23,4,-22,3,-23,3,-28,5,-23,4,-26,6,-22,5,-26,4,-25,5,-24,7,-26,6,-27,7,-30,7
2026-04-14 14:03:45.544824,124,-64,7,0,-15,18,-13,19,-12,19,-14,18,-13,19,-13,19,-11,19,-14,18,-13,19,-10,20,-10,18,-11,18,-9,20,-10,17,-13,19,-12,18,-11,16,-10,16,-11,17,-11,14,-12,13,-11,14,-11,12,-13,11,-11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,8,-4,12,-4,10,-6,12,-5,12,-7,13,-9,14,-12,15,-11,14,-11,15,-13,15,-12,13,-16,16,-15,15,-16,17,-14,16,-16,17,-15,15,-16,16,-17,18,-14,17,-16,18,-15,18,-17,17,-16,18,-15,21
2026-04-14 14:03:45.589024,38,97,18,0,-17,2,-17,3,-17,5,-16,6,-16,7,-16,7,-16,8,-15,8,-15,9,-14,9,-13,9,-13,9,-12,9,-12,10,-10,11,-10,12,-10,11,-10,12,-9,12,-10,14,-9,15,-10,14,-12,15,-13,14,-13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-31,-1,-31,-4,-32,-5,-31,-8,-31,-9,-28,-12,-27,-12,-25,-12,-24,-12,-24,-11,-23,-11,-23,-10,-23,-8,-24,-7,-25,-7,-26,-7,-26,-7,-26,-7,-27,-7,-26,-7,-25,-6,-24,-6,-23,-6,-22,-6,-22,-4,-20,-3
2026-04-14 14:03:45.632200,126,-32,7,0,-23,12,-24,13,-22,13,-20,12,-18,13,-19,15,-18,16,-19,14,-19,19,-18,17,-15,17,-14,17,-18,18,-15,15,-15,17,-16,16,-15,15,-18,15,-16,13,-14,13,-15,10,-12,12,-14,10,-16,10,-15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,9,-11,7,-12,8,-13,8,-14,9,-14,9,-16,7,-18,11,-18,9,-17,7,-19,8,-22,12,-22,7,-22,10,-21,9,-22,8,-23,8,-23,11,-22,10,-22,10,-21,10,-23,10,-20,12,-22,12,-22,10,-27,15
2026-04-14 14:03:45.672281,106,-96,6,0,14,4,14,1,14,1,16,-1,15,-3,15,-3,16,-4,16,-4,15,-5,14,-3,13,-5,13,-4,12,-5,13,-6,13,-7,12,-8,12,-8,12,-9,13,-9,12,-9,13,-10,13,-10,14,-10,15,-9,16,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,13,22,16,21,17,20,19,18,21,16,21,14,21,13,20,12,19,13,18,13,17,12,17,13,15,15,15,16,15,16,16,16,15,17,15,17,16,16,16,14,15,14,15,14,13,14,12,13,9,14,9
2026-04-14 14:03:45.709925,126,-32,7,0,12,8,13,8,14,7,15,6,16,5,16,4,18,4,17,3,17,2,17,2,17,1,16,0,17,-1,16,-2,17,-3,17,-5,17,-4,19,-5,19,-5,19,-5,21,-6,22,-5,22,-4,23,-3,23,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,26,16,29,14,31,12,32,9,32,7,32,4,31,3,30,3,29,3,27,5,26,6,25,6,25,7,25,8,25,8,26,9,25,9,25,8,25,8,25,7,25,8,23,7,21,8,19,9,18,11,15
